subject_name,class_name,period,teacher_email,subject_description
Mathematics,Algebra I,1st Period,john.smith@school.edu,Introduction to algebraic concepts and equations
Mathematics,Geometry,2nd Period,jane.doe@school.edu,Plane and solid geometry fundamentals
English Language Arts,English 9A,3rd Period,mary.johnson@school.edu,Freshman English literature and composition
Science,Biology,4th Period,robert.wilson@school.edu,General biology for high school students
History,World History,5th Period,sarah.brown@school.edu,Survey of world civilizations from ancient to modern
Mathematics,Calculus AB,6th Period,john.smith@school.edu,Advanced Placement Calculus course
Science,Chemistry,7th Period,david.lee@school.edu,Introduction to chemical principles and reactions
English Language Arts,Creative Writing,8th Period,techer2@cisd.edu,Creative writing workshop for advanced students
Physical Education,PE - Team Sports,1st Period,mike.taylor@school.edu,Physical education focused on team sports
Art,Digital Arts,2nd Period,lisa.garcia@school.edu,Introduction to digital art and design
Music,Band,3rd Period,james.white@school.edu,Concert band for intermediate musicians
Science,Physics,4th Period,robert.wilson@school.edu,Introductory physics with lab component
Mathematics,Statistics,5th Period,jane.doe@school.edu,Introduction to statistics and probability
Foreign Language,Spanish I,6th Period,maria.rodriguez@school.edu,Beginning Spanish language and culture
Technology,Computer Science,7th Period,alex.chen@school.edu,Introduction to programming and computer science
Social Studies,US History,8th Period,sarah.brown@school.edu,American history from colonial period to present
