student_email,first_name,last_name,grade_level,class_period_ids,teacher_emails
john.doe@student.edu,John,Doe,9,,
jane.smith@student.edu,Jane,Smith,10,,
mike.johnson@student.edu,Mike,Johnson,11,,
sarah.williams@student.edu,Sarah,Williams,12,,
alex.brown@student.edu,Alex,Brown,9,,
emma.davis@student.edu,Emma,Davis,10,,
tyler.wilson@student.edu,Tyler,Wilson,11,,
olivia.garcia@student.edu,Olivia,Garcia,12,,
james.martinez@student.edu,James,Martinez,9,,
sophia.anderson@student.edu,Sophia,Anderson,10,,
mason.taylor@student.edu,Mason,Taylor,11,,
isabella.thomas@student.edu,Isabella,Thomas,12,,
ethan.jackson@student.edu,Ethan,Jackson,9,,
ava.white@student.edu,Ava,White,10,,
noah.harris@student.edu,Noah,Harris,11,,
mia.clark@student.edu,Mia,Clark,12,
